attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
unitCode	"Park, monument, or unit code"	categorical			Empty string	Not applicable or data not collected
unitName	"Park, monument, or unit full name"	character			Empty string	Not applicable or data not collected
siteID	Location code	categorical			Empty string	Not applicable or data not collected
siteName	Name of the location	character			Empty string	Not applicable or data not collected
year	Year the nest was observed	Date		YYYY	Empty string	Not applicable or data not collected
bandCombination	"The leg band combination placed on the plover's leg. Recorded as: ""Top band on left leg, bottom band on left leg : Top band on right leg, bottom band on right leg"" (e.g. av:bb)"	character			Empty string	Not applicable or data not collected
QCFlag	Data quality flag	character			NA	Not applicable or data not collected
QCNotes	Data quality flag notes	character			NA	Not applicable or data not collected
scientificName	Full scientific name	character			Empty string	Not applicable or data not collected
commonName	Common or vernacular name	character			Empty string	Not applicable or data not collected
TSN	Taxonomic serial number used to identify species in taxonomic database	numeric	dimensionless		Empty string	Not applicable or data not collected
chickWeightInGrams	Weight of chick at time of banding	numeric	gram		NA	Not applicable or data not collected
drynessInPercent	Percent of chick feathers that are dry (Fresh hatchling = 0%)	numeric	percent		NA	Not applicable or data not collected
eggToothPresence	Presence of egg tooth	categorical			Empty string	Not applicable or data not collected
yolkSacPresence	Presence of yolk sac	categorical			Empty string	Not applicable or data not collected
notes	General notes about the chick banding data	character			Empty string	Not applicable or data not collected
type	The nature of the genre or source	categorical			Empty string	Not applicable or data not collected
basisOfRecord	The specific nature of the data record	categorical			Empty string	Not applicable or data not collected
